year,month,COUNTRY,est,se,,iso3
2014,6,Argentina,0,4.35013880473178E-09,,ARG
2014,6,Brazil,0,0.551928497700227,,BRA
2014,6,Chile,0,0.167013763850236,,CHL
2014,6,Colombia,0,0.0154521211843288,,COL
2014,6,Dominican Republic,0,0.553709533270251,,DOM
2014,6,El Salvador,0,0.000624247251095555,,SLV
2014,6,France,0,0.00139749679626489,,FRA
2014,6,Germany,0,0.169764157539481,,DEU
2014,6,Hungary,0,0.0152274291014588,,HUN
2014,6,Ireland,0,0.0416567495152966,,IRL
2014,6,Italy,0,5.42847712337036E-08,,ITA
2014,6,Mexico,0,1.26012533741005E-10,,MEX
2014,6,Morocco,0,1.6891580334466E-07,,MAR
2014,6,Paraguay,0,5.3473003802651E-10,,PRY
2014,6,Romania,0,0.16880234148654,,ROU
2014,6,South Korea,0,0.553709533270251,,KOR
2014,6,Spain,0,0,,ESP
2014,6,Sweden,0,0.0863573231319088,,SWE
2014,6,Switzerland,0,0.257086590235017,,CHE
2014,6,United Kingdom,0,1.38659893567095E-08,,GBR
2014,6,United States,0,0.0155239000558149,,USA
2014,6,Venezuela,0,0.306513401690034,,VEN
