year,month,COUNTRY,est,se
2015,01,Austria,0,1.3173581585435024e-4
2015,01,Brazil,0,0.0012098094300432294
2015,01,Chile,0,0
2015,01,Colombia,0,0.30528049004742186
2015,01,Croatia,0,0.05845073015156044
2015,01,France,0,0
2015,01,Germany,0,3.0162164987856954e-9
2015,01,Guatemala,0,1.3211653993039363e-14
2015,01,India,0,5.77941272628113e-6
2015,01,Indonesia,0,0
2015,01,Italy,0,0
2015,01,Martinique,0,0.5537095332702514
2015,01,Morocco,0,0
2015,01,Netherlands,0,0
2015,01,New Zealand,0,0
2015,01,Portugal,0,0
2015,01,Serbia,0,0
2015,01,Spain,0,0
2015,01,Sweden,0,0
2015,01,Switzerland,0,0.0015832860804869675
2015,01,Thailand,0,7.343614605304083e-11
2015,01,Turkey,0,0.013486253069674548
2015,01,United Kingdom,0,0
2015,01,United States,0,0
