year,month,COUNTRY,est,se,iso3
2020,1,Argentina,0,0,ARG
2020,1,Austria,0,0,AUT
2020,1,Belgium,0,2.1094237467878E-15,BEL
2020,1,Bolivia,0,0.30659424723436,BOL
2020,1,Brazil,0,0,BRA
2020,1,Bulgaria,0,0,BGR
2020,1,Canada,0,0,CAN
2020,1,Chile,0,0,CHL
2020,1,China,0,0,CHN
2020,1,Colombia,0,0,COL
2020,1,Costa Rica,0,0,CRI
2020,1,Czechia,0,0,CZE
2020,1,Denmark,0,0,DNK
2020,1,Ecuador,0,0,ECU
2020,1,Egypt,0,0.00175762580522765,EGY
2020,1,France,0,0,FRA
2020,1,Germany,0,0,DEU
2020,1,Greece,0,0.0127914046173099,GRC
2020,1,Hungary,0,0,HUN
2020,1,India,0,5.62276768478753E-08,IND
2020,1,Ireland,0,0,IRL
2020,1,Italy,0,0,ITA
2020,1,Japan,0,0,JPN
2020,1,Kazakhstan,0,0,KAZ
2020,1,Malaysia,0,0.00123280205639065,MYS
2020,1,Mexico,0,0,MEX
2020,1,Netherlands,0,0,NLD
2020,1,Norway,0,0,NOR
2020,1,Paraguay,0,0,PRY
2020,1,Peru,0,4.67173744134186E-10,PER
2020,1,Portugal,0,0,PRT
2020,1,Romania,0,1.2608853960927E-09,ROU
2020,1,Saudi Arabia,0,0,SAU
2020,1,South Africa,0,0.0372694777913687,ZAF
2020,1,Spain,0,0,ESP
2020,1,Sweden,0,0,SWE
2020,1,Turkey,0,0,TUR
2020,1,Ukraine,0,0,UKR
2020,1,United Kingdom,0,0,GBR
2020,1,United States,0,0,USA
