year,month,COUNTRY,est,se,Unkown country code
2022,3,Albania,0,0,ALB
2022,3,Algeria,0.000991080277502478,1,DZA
2022,3,Argentina,0,0,ARG
2022,3,Australia,0,0,AUS
2022,3,Austria,0,7.78506210762364E-05,AUT
2022,3,Azerbaijan,0,0.553709533270251,AZE
2022,3,Bangladesh,0.000330360092500826,0,BGD
2022,3,Belgium,0,0,BEL
2022,3,Bolivia,0,0.553709533270251,BOL
2022,3,Bosnia and Herzegovina,0,0.30659401458054,BIH
2022,3,Brazil,0.000330360092500826,0,BRA
2022,3,Burundi,0,0.169763725138547,BDI
2022,3,Cambodia,0,0.0939999782796737,KHM
2022,3,Cameroon,0,0.553709533270251,CMR
2022,3,Chad,0,0.169755390889224,TCD
2022,3,Chile,0,2.56161758471762E-12,CHL
2022,3,Colombia,0.000991080277502478,1,COL
2022,3,Costa Rica,0,6.5195630298831E-06,CRI
2022,3,Côte d'Ivoire,0,0,CIV
2022,3,Croatia,0,0.169764126626615,HRV
2022,3,Czechia,0,0.553709533270251,CZE
2022,3,Democratic Republic of the Congo,0,0.169764094209184,COD
2022,3,Djibouti,0.0013214403700033,1,DJI
2022,3,Dominican Republic,0.000330360092500826,1,DOM
2022,3,Ecuador,0,5.74096326033668E-12,ECU
2022,3,Egypt,0,0.0520487140881926,EGY
2022,3,Ethiopia,0.000330360092500826,1,ETH
2022,3,France,0.000660720185001652,1,FRA
2022,3,Gabon,0,0.169764086307118,GAB
2022,3,Germany,0.000165180046250413,0,DEU
2022,3,Greece,0,0.00489255129765076,GRC
2022,3,Guatemala,0,0.00143313421939439,GTM
2022,3,Haiti,0,0,HTI
2022,3,Honduras,0,4.06357846227667E-06,HND
2022,3,Hungary,0,0,HUN
2022,3,Iceland,0.000330360092500826,1,ISL
2022,3,India,0.00991080277502478,1,IND
2022,3,Indonesia,0.000330360092500826,1,IDN
2022,3,Iran,0.000825900231252065,0,IRN
2022,3,Iraq,0.000330360092500826,1,IRQ
2022,3,Italy,0.00264288074000661,1,ITA
2022,3,Japan,0,0,JPN
2022,3,Jordan,0.000330360092500826,1,JOR
2022,3,Kenya,0.000330360092500826,1,KEN
2022,3,Kosovo,0,0,SRB
2022,3,Lebanon,0.000330360092500826,1,LBN
2022,3,Madagascar,0,0.0940000324372037,MDG
2022,3,Malaysia,0,5.69545688888784E-06,MYS
2022,3,Mali,0,0,MLI
2022,3,Martinique,0,0.169763968206055,MTQ
2022,3,Mauritania,0,0.000519982608392589,MRT
2022,3,Mexico,0.000660720185001652,1,MEX
2022,3,Morocco,0,0,MAR
2022,3,Nepal,0,0,NPL
2022,3,Netherlands,0.00825900231252065,1,NLD
2022,3,Niger,0,0.000140993113554977,NER
2022,3,Nigeria,0,0.000751082770377942,NGA
2022,3,Norway,0,0.536808550739981,NOR
2022,3,Oman,0,0.000544417660975571,OMN
2022,3,Pakistan,0.00016518004625042,8.00470800754738E-14,PAK
2022,3,Palestine,0,0.169763944525133,PSE
2022,3,Panama,0,0.553709533270251,PAN
2022,3,Paraguay,0,0.00150001168422598,PRY
2022,3,Peru,0.000330360092500826,1,PER
2022,3,Philippines,0.000330360092500826,1,PHL
2022,3,Poland,0,0,POL
2022,3,Portugal,0.000165180046250417,5.14033260401448E-14,PRT
2022,3,Réunion,0,0.169763936344924,REU
2022,3,Romania,0.000165180046250413,0,ROU
2022,3,Russia,0,0.000830581975640676,RUS
2022,3,Saudi Arabia,0.000330360092500826,0,SAU
2022,3,Senegal,0,0,SEN
2022,3,Serbia,0.000165180046250413,0,SRB
2022,3,Somalia,0.000165180046250413,0,SOM
2022,3,South Africa,0.000330360092500826,0,ZAF
2022,3,South Korea,0,0,KOR
2022,3,Spain,0.00825900231252065,1,ESP
2022,3,Sri Lanka,0,0.00104638616138952,LKA
2022,3,Sudan,0,0.0939999401117675,SDN
2022,3,Sweden,0,0,SWE
2022,3,Switzerland,0,0.0072996038944706,CHE
2022,3,Taiwan,0,0.000830574867884848,TWN
2022,3,Tanzania,0,0.0520486224548717,TZA
2022,3,Thailand,0.000660720185001652,1,THA
2022,3,Togo,0,0.553709533270251,TGO
2022,3,Tunisia,0,0.169764063991683,TUN
2022,3,Turkey,0,0.331728224165008,TUR
2022,3,Ukraine,0,0.0159462118627582,UKR
2022,3,United Arab Emirates,0,0.00883600177929844,ARE
2022,3,United Kingdom,0,0,GBR
2022,3,United States,0,0.00242349445747891,USA
2022,3,Uruguay,0.000330360092500826,1,URY
2022,3,Uzbekistan,0,0.00883599447870076,UZB
2022,3,Venezuela,0.000330360092500826,1,VEN
2022,3,Vietnam,0,3.81951672401293E-07,VNM
2022,3,Yemen,0,0.0839171026447586,YEM
